Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,branch-3eqj,randomiser-e1us,branch-8hy4,branch-h95v,branch-u9i4,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,ANSWER
3,1667401413837,02/11/2022 15:03:33,1667401414604,1,02/11/2022 16:03:34,102467,5,task-4atu,,24956395,45,7369219,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 106.0.0.0,1536x864,1519x754,,preTest,1,,,,preTest,173,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,Zone1,continue_button,50375.40000000037,,,,,0,1,0,,,,,,preTest,
4,1667401413913,02/11/2022 15:03:33,1667401414608,1,02/11/2022 16:03:34,102467,5,task-4atu,,24956395,45,7369219,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 106.0.0.0,1536x864,1519x754,,preTest,1,,,,preTest,173,Spreadsheet1,,,END TASK,,,,,50520,,,,,0,1,0,,,,,,,
1,1667400259446,02/11/2022 14:44:19,1667400259258,1,02/11/2022 15:44:19,102467,5,task-4atu,,24955945,55,7372109,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.0,1512x982,1356x793,,preTest,1,,onlineFirst,157,no_preTest,,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,
2,1667400260589,02/11/2022 14:44:20,1667400260442,1,02/11/2022 15:44:20,102467,5,task-4atu,,24955945,55,7372109,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.0,1512x982,1356x793,,preTest,1,,onlineFirst,157,no_preTest,,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,buttonB,response_button_text,1159,,,No,1,0,1,0,,,,,,preTest,
3,1667400261948,02/11/2022 14:44:21,1667400261825,1,02/11/2022 15:44:21,102467,5,task-4atu,,24955945,55,7372109,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.0,1512x982,1356x793,,preTest,1,,onlineFirst,157,no_preTest,,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,Zone1,continue_button,2542,,,,,0,1,0,,,,,,preTest,
4,1667400262117,02/11/2022 14:44:22,1667400261828,1,02/11/2022 15:44:21,102467,5,task-4atu,,24955945,55,7372109,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.0,1512x982,1356x793,,preTest,1,,onlineFirst,157,no_preTest,,Spreadsheet1,,,END TASK,,,,,2570,,,,,0,1,0,,,,,,,
1,1667398661891,02/11/2022 14:17:41,1667398661790,1,02/11/2022 15:17:41,102467,5,task-4atu,,24955035,8,7339224,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 107.0.1418.26,1280x720,1233x609,,preTest,1,,onlineFirst,178,no_preTest,,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,
2,1667398668422,02/11/2022 14:17:48,1667398668355,1,02/11/2022 15:17:48,102467,5,task-4atu,,24955035,8,7339224,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 107.0.1418.26,1280x720,1233x609,,preTest,1,,onlineFirst,178,no_preTest,,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,buttonB,response_button_text,6507.100000023842,,,No,1,0,1,0,,,,,,preTest,
3,1667398670025,02/11/2022 14:17:50,1667398669940,1,02/11/2022 15:17:49,102467,5,task-4atu,,24955035,8,7339224,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 107.0.1418.26,1280x720,1233x609,,preTest,1,,onlineFirst,178,no_preTest,,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,Zone1,continue_button,8092.700000047684,,,,,0,1,0,,,,,,preTest,
4,1667398670094,02/11/2022 14:17:50,1667398669945,1,02/11/2022 15:17:49,102467,5,task-4atu,,24955035,8,7339224,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 107.0.1418.26,1280x720,1233x609,,preTest,1,,onlineFirst,178,no_preTest,,Spreadsheet1,,,END TASK,,,,,8155,,,,,0,1,0,,,,,,,
1,1667383387270,02/11/2022 10:03:07,1667383385720,1,02/11/2022 11:03:05,102467,5,task-4atu,,24949597,6,7339218,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1366x768,1366x649,,preTest,1,,,,preTest,163,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,
2,1667383389847,02/11/2022 10:03:09,1667383387770,1,02/11/2022 11:03:07,102467,5,task-4atu,,24949597,6,7339218,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1366x768,1366x649,,preTest,1,,,,preTest,163,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,buttonA,response_button_text,1936.5999999642372,,,Yes,1,0,1,0,,,,,,preTest,
