Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,branch-3eqj,randomiser-e1us,branch-8hy4,branch-h95v,branch-u9i4,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,ANSWER
6,1667477125615,03/11/2022 12:05:25,1667477125452,1,03/11/2022 13:05:25,102467,5,task-ysdh,,24977015,21,7339237,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.6,1470x956,1470x817,,chartTest,2,173,chartFirst,,no_preTest,,Spreadsheet1,,,END TASK,,,,,177415,,,,,0,1,0,,,,,,,
1,1667475079088,03/11/2022 11:31:19,1667475080378,1,03/11/2022 12:31:20,102467,5,task-ysdh,,24976172,20,7339240,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 107.0.1418.26,1280x720,1233x609,,chartTest,2,168,chartFirst,,no_preTest,,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,
2,1667475258414,03/11/2022 11:34:18,1667475259672,1,03/11/2022 12:34:19,102467,5,task-ysdh,,24976172,20,7339240,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 107.0.1418.26,1280x720,1233x609,,chartTest,2,168,chartFirst,,no_preTest,,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,179276.69999998808,,,,,0,1,0,,,,,,title,
3,1667475260311,03/11/2022 11:34:20,1667475261646,1,03/11/2022 12:34:21,102467,5,task-ysdh,,24976172,20,7339240,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 107.0.1418.26,1280x720,1233x609,,chartTest,2,168,chartFirst,,no_preTest,,Spreadsheet1,Spreadsheet1,2,1,1,Screen 1,advancementZone,continue_button,1960.1000000238419,,,,,0,1,0,,,,,,va,
4,1667475261365,03/11/2022 11:34:21,1667475262686,1,03/11/2022 12:34:22,102467,5,task-ysdh,,24976172,20,7339240,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 107.0.1418.26,1280x720,1233x609,,chartTest,2,168,chartFirst,,no_preTest,,Spreadsheet1,Spreadsheet1,3,1,1,Screen 1,advancementZone,continue_button,1034.7999999821186,,,,,0,1,0,,,,,,cs,
5,1667475263241,03/11/2022 11:34:23,1667475264575,1,03/11/2022 12:34:24,102467,5,task-ysdh,,24976172,20,7339240,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 107.0.1418.26,1280x720,1233x609,,chartTest,2,168,chartFirst,,no_preTest,,Spreadsheet1,Spreadsheet1,4,1,1,Screen 1,advancementZone,continue_button,1882.9000000059605,,,,,0,1,0,,,,,,end,
6,1667475263333,03/11/2022 11:34:23,1667475264580,1,03/11/2022 12:34:24,102467,5,task-ysdh,,24976172,20,7339240,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 107.0.1418.26,1280x720,1233x609,,chartTest,2,168,chartFirst,,no_preTest,,Spreadsheet1,,,END TASK,,,,,184202,,,,,0,1,0,,,,,,,
1,1667404459479,02/11/2022 15:54:19,1667404461047,1,02/11/2022 16:54:21,102467,5,task-ysdh,,24957522,12,7339227,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 106.0.0.0,1536x864,1536x760,,chartTest,2,168,chartFirst,,no_preTest,,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,
2,1667404664732,02/11/2022 15:57:44,1667404666216,1,02/11/2022 16:57:46,102467,5,task-ysdh,,24957522,12,7339227,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 106.0.0.0,1536x864,1536x760,,chartTest,2,168,chartFirst,,no_preTest,,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,205079.29999999702,,,,,0,1,0,,,,,,title,
3,1667404668512,02/11/2022 15:57:48,1667404670020,1,02/11/2022 16:57:50,102467,5,task-ysdh,,24957522,12,7339227,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 106.0.0.0,1536x864,1536x760,,chartTest,2,168,chartFirst,,no_preTest,,Spreadsheet1,Spreadsheet1,2,1,1,Screen 1,advancementZone,continue_button,3789.89999999851,,,,,0,1,0,,,,,,va,
